Titulo,URL_Original,Arquivo_MD
2015/2016,https://wiki.foz.ifpr.edu.br/wiki/index.php/2015/2016,pages\2015-2016.md
2016,https://wiki.foz.ifpr.edu.br/wiki/index.php/2016,pages\2016.md
2016.2,https://wiki.foz.ifpr.edu.br/wiki/index.php/2016.2,pages\2016.2.md
2017.1,https://wiki.foz.ifpr.edu.br/wiki/index.php/2017.1,pages\2017.1.md
2017.2,https://wiki.foz.ifpr.edu.br/wiki/index.php/2017.2,pages\2017.2.md
2018.1,https://wiki.foz.ifpr.edu.br/wiki/index.php/2018.1,pages\2018.1.md
31_de_Julho_de_2017,https://wiki.foz.ifpr.edu.br/wiki/index.php/31_de_Julho_de_2017,pages\31_de_Julho_de_2017.md
6LowPAN,https://wiki.foz.ifpr.edu.br/wiki/index.php/6LowPAN,pages\6LowPAN.md
=Portfólio:_caveira,https://wiki.foz.ifpr.edu.br/wiki/index.php/%3DPortf%C3%B3lio:_caveira,pages\=Portfólio-_caveira.md
ATUALIZOU???,https://wiki.foz.ifpr.edu.br/wiki/index.php/ATUALIZOU%3F%3F%3F,pages\ATUALIZOU-.md
A_BUSCA_DO_EMBLEMA,https://wiki.foz.ifpr.edu.br/wiki/index.php/A_BUSCA_DO_EMBLEMA,pages\A_BUSCA_DO_EMBLEMA.md
Administracao_de_Usuarios_e_Grupos,https://wiki.foz.ifpr.edu.br/wiki/index.php/Administracao_de_Usuarios_e_Grupos,pages\Administracao_de_Usuarios_e_Grupos.md
Administração_de_Servidores,https://wiki.foz.ifpr.edu.br/wiki/index.php/Administra%C3%A7%C3%A3o_de_Servidores,pages\Administração_de_Servidores.md
Agendamento_de_Tarefas,https://wiki.foz.ifpr.edu.br/wiki/index.php/Agendamento_de_Tarefas,pages\Agendamento_de_Tarefas.md
Algoritmos_e_Linguagem_de_Programação,https://wiki.foz.ifpr.edu.br/wiki/index.php/Algoritmos_e_Linguagem_de_Programa%C3%A7%C3%A3o,pages\Algoritmos_e_Linguagem_de_Programação.md
Algoritmos_e_Linguagem_de_Programação_2017,https://wiki.foz.ifpr.edu.br/wiki/index.php/Algoritmos_e_Linguagem_de_Programa%C3%A7%C3%A3o_2017,pages\Algoritmos_e_Linguagem_de_Programação_2017.md
Alimentador_Automático_para_Gatos,https://wiki.foz.ifpr.edu.br/wiki/index.php/Alimentador_Autom%C3%A1tico_para_Gatos,pages\Alimentador_Automático_para_Gatos.md
Alocando_Variáveis_Dinâmicas,https://wiki.foz.ifpr.edu.br/wiki/index.php/Alocando_Vari%C3%A1veis_Din%C3%A2micas,pages\Alocando_Variáveis_Dinâmicas.md
Amplificadores_Operacionais,https://wiki.foz.ifpr.edu.br/wiki/index.php/Amplificadores_Operacionais,pages\Amplificadores_Operacionais.md
Aplicacao_Web,https://wiki.foz.ifpr.edu.br/wiki/index.php/Aplicacao_Web,pages\Aplicacao_Web.md
